도시명,시군구,학교명,학교 학생 수,최종 동질성 지수(H_m),소비 획일성 지수,소비 1위 업종,소비 2위 업종,소비 3위 업종,사회 문화 획일성 지수,진로 획일성 지수,진로 노출 획일성 지수,학구 순전입률
대구광역시,북구,관음중학교,284,1.04364935,0.4321,,,,0.955633,0.436748,0.3493,-0.8176918788
대구광역시,수성구,대구복명초등학교,283,1.191418559,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.979671,1,0.3313,-3.833333333
대구광역시,북구,대구대천초등학교,281,1.173631806,0.4321,,,,0.957856,1,0.3493,-4.982206406
대구광역시,수성구,대구과학고등학교,280,1.194558991,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977291,1,0.3313,0
대구광역시,북구,대구산격초등학교,280,1.169342109,0.4321,,,,0.95067,1,0.3493,-3.214285714
대구광역시,군위군,대구부계초등학교효령캠퍼스,28,1.397925429,0.4321,,,,0.88137,0.693446,0.329,0
대구광역시,남구,대명중학교,279,1.055053791,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.913233,0.231672,0.3552,1.19760479
대구광역시,달성군,화원중학교,278,1.041174124,0.4321,,,,0.937986,0.394799,0.3487,0.1910219675
대구광역시,수성구,대구만촌초등학교,276,1.273842942,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.972425,1,0.3313,6.15942029
대구광역시,북구,대구관남초등학교,274,1.187172073,0.4321,,,,0.959986,1,0.3493,-5.839416058
대구광역시,서구,대구비산초등학교,272,1.138547643,0.4321,,,,0.895834,1,0.3622,-2.813852814
대구광역시,달서구,대구송현초등학교,271,1.192618454,0.4321,,,,0.960195,1,0.3515,-5.166051661
대구광역시,달성군,대구현풍초등학교,271,1.172262226,0.4321,,,,0.936291,1,0.3487,-1.367890569
대구광역시,달서구,대구성서초등학교,270,1.195300901,0.4321,,,,0.96138,1,0.3515,-3.333333333
대구광역시,서구,대구서부초등학교,270,1.139611133,0.4321,,,,0.893219,1,0.3622,-1.851851852
대구광역시,서구,서대구중학교,269,1.014027193,0.4321,,,,0.893137,0.299512,0.3622,0.9982638889
대구광역시,수성구,대구두산초등학교,268,1.204406724,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.964746,1,0.3313,-1.492537313
대구광역시,서구,대구서도초등학교,265,1.157736448,0.4321,,,,0.905379,1,0.3622,-3.773584906
대구광역시,달서구,대구감천초등학교,264,1.196577551,0.4321,,,,0.950998,1,0.3515,-2.651515152
대구광역시,달서구,대구상원초등학교,262,1.201938134,0.4321,,,,0.953369,1,0.3515,-1.099764336
대구광역시,달서구,대구선원초등학교,261,1.221030404,0.4321,,,,0.973726,1,0.3515,-8.045977011
대구광역시,서구,대구중리초등학교,259,1.257708342,0.4321,,,,0.890988,1,0.3622,16.6023166
대구광역시,동구,대구덕성초등학교,259,1.214721527,0.4321,,,,0.962626,1,0.3499,-4.247104247
대구광역시,동구,대구입석초등학교,259,1.205903118,0.4321,,,,0.952329,1,0.3499,0
대구광역시,동구,불로중학교,258,1.067828044,0.4321,,,,0.947122,0.347845,0.3499,0.0488997555
대구광역시,동구,동촌중학교,257,1.058861243,0.4321,,,,0.949655,0.214597,0.3499,0.0488997555
대구광역시,동구,대구지묘초등학교,256,1.238269227,0.4321,,,,0.957417,1,0.3499,0.78125
대구광역시,달서구,성곡중학교,255,1.108056041,0.4321,,,,0.958039,0.418379,0.3515,0.8227848101
대구광역시,동구,신아중학교,255,1.066369935,0.4321,,,,0.936482,0.383871,0.3499,0.0488997555
대구광역시,달성군,대구옥포초등학교,252,1.21150005,0.4321,,,,0.945389,1,0.3487,-3.968253968
대구광역시,달서구,대구감삼초등학교,251,1.266757457,0.4321,,,,0.957789,1,0.3515,2.788844622
대구광역시,북구,대구북중학교,250,1.080308488,0.4321,,,,0.947051,0.247085,0.3493,0.5465547531
대구광역시,군위군,군위고등학교,248,1.09210503,0.4321,,,,0.88137,0.693446,0.329,0.6116852985
대구광역시,남구,대구성명초등학교,245,1.22359046,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.914696,1,0.3552,-2.857142857
대구광역시,달성군,천내중학교,243,1.083378366,0.4321,,,,0.934023,0.365861,0.3487,0.1910219675
대구광역시,북구,산격중학교,240,1.102758883,0.4321,,,,0.944718,0.349535,0.3493,0.5465547531
대구광역시,군위군,대구군위초등학교,239,1.151022598,0.4321,,,,0.88137,0.693446,0.329,8.786610879
대구광역시,북구,대구성보학교,238,1.174693947,0.4321,,,,0.969718,0.693446,0.3493,0
대구광역시,서구,대구두류초등학교,237,1.209355463,0.4321,,,,0.912629,1,0.3622,-4.641350211
대구광역시,달서구,대구세명학교,234,1.185093457,0.4321,,,,0.973726,0.693446,0.3515,0
대구광역시,남구,대구남덕초등학교,229,1.25359844,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.918617,1,0.3552,-5.240174672
대구광역시,달성군,대구북동초등학교,229,1.22951459,0.4321,,,,0.922492,1,0.3487,-5.240174672
대구광역시,서구,대구이현초등학교,224,1.405408855,0.4321,,,,0.909489,1,0.3622,65.17857143
대구광역시,북구,대구팔달초등학교,224,1.263956777,0.4321,,,,0.951861,1,0.3493,-1.785714286
대구광역시,동구,대구아양초등학교,223,1.256590573,0.4321,,,,0.941699,1,0.3499,-4.932735426
대구광역시,달서구,이곡중학교,223,1.143427649,0.4321,,,,0.967746,0.25134,0.3515,0.8227848101
대구광역시,동구,대구율하초등학교,222,1.250111065,0.4321,,,,0.932595,1,0.3499,-4.054054054
대구광역시,수성구,대구시지초등학교,220,1.271758074,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.949368,1,0.3313,-2.727272727
대구광역시,동구,대구서촌초등학교,22,1.57964771,0.4321,,,,0.932322,1,0.3499,0
대구광역시,동구,대구일과학고등학교,218,1.246669338,0.4321,,,,0.959567,0.885745,0.3499,0
대구광역시,달서구,경암중학교,218,1.146844873,0.4321,,,,0.973726,0.187137,0.3515,0.4379562044
대구광역시,수성구,대구남양학교,217,1.221163964,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.979671,0.693446,0.3313,0
대구광역시,달서구,대구파호초등학교,216,1.290420923,0.4321,,,,0.96601,1,0.3515,0
대구광역시,북구,대구북부초등학교,215,1.281138884,0.4321,,,,0.954214,1,0.3493,-2.790697674
대구광역시,동구,공산중학교,215,1.13356211,0.4321,,,,0.962626,0.224388,0.3499,0.0488997555
대구광역시,달성군,대구소프트웨어마이스터고등학교,215,1.126484889,0.4321,,,,0.955971,0.271607,0.3487,0
대구광역시,남구,대구대덕초등학교,212,1.291422902,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.929328,1,0.3552,-2.830188679
대구광역시,수성구,대구지산초등학교,211,1.175040979,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.944916,0.325111,0.3313,4.739336493
대구광역시,동구,대구효신초등학교,210,1.447339146,0.4321,,,,0.949927,1,0.3499,58.0952381
대구광역시,달성군,북동중학교,209,1.116435182,0.4321,,,,0.943212,0.208351,0.3487,-2.479338843
대구광역시,북구,대구태전초등학교,207,1.293987063,0.4321,,,,0.953615,1,0.3493,-4.830917874
대구광역시,북구,대구체육고등학교,203,1.164930328,0.4321,,,,0.969718,0.329245,0.3493,0
대구광역시,중구,대구종로초등학교,201,1.343682141,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.95741,1,0.3322,31.34328358
대구광역시,남구,남대구초등학교,201,1.291536147,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.908739,1,0.3552,-4.975124378
대구광역시,달성군,현풍중학교,200,1.201142336,0.4321,,,,0.945971,0.572016,0.3487,0.8583690987
대구광역시,수성구,대구삼육초등학교,199,1.335004153,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.979671,1,0.3313,0
대구광역시,중구,대구동인초등학교,199,1.284874965,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.943809,1,0.3322,1.005025126
대구광역시,달성군,대구논공초등학교,194,1.305081119,0.4321,,,,0.942226,1,0.3487,-3.608247423
대구광역시,달서구,대구장성초등학교,191,1.333337516,0.4321,,,,0.966745,1,0.3515,-4.684975767
대구광역시,수성구,수성중학교,190,1.159836142,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.958619,0.135263,0.3313,-0.21595357
대구광역시,군위군,대구부계초등학교고매캠퍼스,19,1.411141111,0.4321,,,,0.88137,0.693446,0.329,-21.05263158
대구광역시,군위군,부계중학교효령캠퍼스,19,1.411141111,0.4321,,,,0.88137,0.693446,0.329,0
대구광역시,수성구,대구경동초등학교,1871,1.630353665,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.978781,1,0.3313,14.27044361
대구광역시,남구,대구보명학교,187,1.257908124,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.941907,0.693446,0.3552,0
대구광역시,군위군,군위중학교,187,1.209899465,0.4321,,,,0.88137,0.693446,0.329,7.486631016
대구광역시,동구,입석중학교,185,1.164165749,0.4321,,,,0.955418,0.149647,0.3499,0.0488997555
대구광역시,수성구,대구지봉초등학교,182,1.357093985,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.972345,1,0.3313,-3.833333333
대구광역시,북구,대구교동초등학교,182,1.326821881,0.4321,,,,0.944077,1,0.3493,-3.338391502
